tvstudy v1.3.1
Host,"localhost"
CDBS,"07/01/2013 (2)  FP&ClassA"
Study,"Top100 Studies"
Scenario,"DMA20"
Comment,
Start,"2015.05.19 11:15:36"
Desired,,,,,,,NoiseLimited,,TerrainLimited,,InterferenceFree,,,Undesired,,,,,,TotalInterference,,UniqueInterference
FacID,Ch,Call,FileNumber,City,St,InCountry,Area,Population,Area,Population,Area,Population,,FacID,Ch,Call,FileNumber,City,St,Area,Population,Area,Population
,,,,,,,,,,,,,,136014,40,"NEW","BPEDT20020730AAC","VALLEJO","CA",108.0,4705,76.0,2973
,,,,,,,,,,,,,,167838,39,"KMMD-CD","BLDTA20110826ADI","SALINAS","CA",1646.8,20375,1606.8,18643
69619,45,"KBCW","BLCDT20110713AAE","SAN FRANCISCO",CA,US,36016.9,8020424,29622.4,6963213,27357.7,6577588,,10242,46,"KQCA","BLCDT20060623AAM","STOCKTON",CA,2256.8,385625,2256.8,385625
,,,,,,,,,,,,,,35703,44,"KTVU","BLCDT20091204AAD","OAKLAND","CA",7.9,0,7.9,0
33778,51,"KDTV-DT","BLCDT20021015ABK","SAN FRANCISCO",CA,US,31512.6,7905636,19507.6,6574843,18747.0,6426956,,35663,50,"KQEH","BLEDT20040826AAR","SAN JOSE",CA,47.7,443,31.9,443
,,,,,,,,,,,,,,2424,51,"KBTV-CD","BLDTA20101213ABK","SACRAMENTO","CA",728.8,147444,712.9,147444
35280,12,"KNTV","BLCDT20050923AHA","SAN JOSE",CA,US,42212.1,8022662,37299.8,7153046,36655.5,7139147,,14867,13,"KCBA","BLCDT20030707ACL","SALINAS",CA,644.3,13899,644.3,13899
34564,36,"KICU-TV","BLCDT20090709ALH","SAN JOSE",CA,US,38469.0,8232592,29462.9,7155611,27281.4,6834409,,59013,36,"KFRE-TV","BLCDT20060421AAI","SANGER",CA,1294.0,212873,355.2,5211
,,,,,,,,,,,,,,33875,35,"KCRA-TV","BMLCDT20110630AGB","SACRAMENTO","CA",1826.3,315991,887.6,108329
22644,41,"KKPX-TV","BLCDT20021108ABD","SAN JOSE",CA,US,31317.0,7902064,26027.1,6843462,23737.7,6528622,,10205,40,"KTXL","BLCDT20090918ABS","SACRAMENTO",CA,2118.1,257300,2118.1,257300
,,,,,,,,,,,,,,136014,40,"NEW","BPEDT20020730AAC","VALLEJO","CA",135.3,43777,131.4,43770
,,,,,,,,,,,,,,37689,42,"KAXT-CD","BLDTA20110128AEI","SANFRANCISCO-SANJOSE","CA",39.9,13770,35.9,13763
64987,49,"KSTS","BLCDT20030507AAT","SAN JOSE",CA,US,32020.7,7645340,21704.7,6352551,20816.6,6280117,,35663,50,"KQEH","BLEDT20040826AAR","SAN JOSE",CA,63.6,2807,47.8,2787
,,,,,,,,,,,,,,52953,48,"KSPX-TV","BLCDT20050110ABB","SACRAMENTO","CA",764.4,69639,602.0,56884
,,,,,,,,,,,,,,168338,49,"KMPH-CD","BLDTA20110913AAR","MERCED-MARIPOSA","CA",230.5,12743,75.9,8
35663,50,"KQEH","BLEDT20040826AAR","SAN JOSE",CA,US,28414.0,7725157,16854.0,6316181,16508.9,6275089,,33778,51,"KDTV-DT","BLCDT20021015ABK","SAN FRANCISCO",CA,325.4,41035,63.5,9437
,,,,,,,,,,,,,,64987,49,"KSTS","BLCDT20030507AAT","SAN JOSE","CA",265.8,31598,4.0,0
,,,,,,,,,,,,,,2424,51,"KBTV-CD","BLDTA20101213ABK","SACRAMENTO","CA",15.8,57,15.8,57
58912,43,"KCSM-TV","BLEDT20091124AHY","SAN MATEO",CA,US,31454.4,7672473,25600.0,6657522,24746.7,6620750,,24508,43,"KHSL-TV","BLCDT20080711ADS","CHICO",CA,793.6,21917,793.6,21917
,,,,,,,,,,,,,,37689,42,"KAXT-CD","BLDTA20110128AEI","SANFRANCISCO-SANJOSE","CA",59.7,14855,59.7,14855
37689,42,"KAXT-CD","BLDTA20110128AEI","SANFRANCISCO-SANJOSE",CA,US,5560.6,3870417,3603.6,3606407,3543.8,3463821,,58912,43,"KCSM-TV","BLEDT20091124AHY","SAN MATEO",CA,51.9,142586,4.0,0
,,,,,,,,,,,,,,22644,41,"KKPX-TV","BLCDT20021108ABD","SAN JOSE","CA",55.8,142586,8.0,0
59013,36,"KFRE-TV","BLCDT20060421AAI","SANGER",CA,US,31177.1,1724464,27414.1,1708553,27314.0,1708553,,34564,36,"KICU-TV","BLCDT20090709ALH","SAN JOSE",CA,100.1,0,100.1,0
18148,28,"KDTV-CD","BLDTA20100730ADZ","SANTA ROSA",CA,US,10609.6,779876,7654.0,555520,7387.7,505457,,25452,29,"KPIX-TV","BLCDT20091112AIZ","SAN FRANCISCO",CA,83.2,22034,0.0,0
,,,,,,,,,,,,,,37511,27,"KTSF","BLCDT20111025AGM","SAN FRANCISCO","CA",71.3,5626,0.0,0
,,,,,,,,,,,,,,51930,28,"KKPM-CD","BLDTA20100914AHF","CHICO","CA",44.1,11,40.1,11
,,,,,,,,,,,,,,52887,28,"KFTL-CD","BLDTA20100419ACP","SAN FRANCISCO","CA",226.2,50052,143.0,28018
34440,32,"KEMO-TV","BLCDT20090612AGW","SANTA ROSA",CA,US,26013.3,1407067,19204.8,875062,18975.4,844937,,26249,32,"KION-TV","BLCDT20030604ACO","MONTEREY",CA,3.9,0,3.9,0
,,,,,,,,,,,,,,43095,33,"KMTP-TV","BLEDT20100216ABJ","SAN FRANCISCO","CA",225.4,30125,225.4,30125
56550,25,"KOVR","BLCDT20110922ABJ","STOCKTON",CA,US,47333.4,10759811,40461.3,7105849,39789.7,6777718,,8214,25,"KQET","BLEDT20090624ABV","WATSONVILLE",CA,671.6,328131,671.6,328131
20871,26,"KTFK-DT","BLCDT20110819ABS","STOCKTON",CA,US,35399.0,6969307,31595.0,5220808,30572.3,5022758,,51493,26,"KREN-TV","BLCDT20090227AAM","RENO",NV,686.4,184598,425.3,154166
,,,,,,,,,,,,,,37511,27,"KTSF","BLCDT20111025AGM","SAN FRANCISCO","CA",581.5,43880,328.3,13452
,,,,,,,,,,,,,,8214,25,"KQET","BLEDT20090624ABV","WATSONVILLE","CA",4.0,0,0.0,0
,,,,,,,,,,,,,,70900,27,"KEXT-CA","BLTTA20030123ACJ","MODESTO","CA",16.0,4,4.0,0
10242,46,"KQCA","BLCDT20060623AAM","STOCKTON",CA,US,40339.4,9931380,34093.2,5924478,32957.8,5505914,,49153,47,"KTLN-TV","BLCDT20080228ACB","NOVATO",CA,893.2,306343,205.5,84361
,,,,,,,,,,,,,,69619,45,"KBCW","BLCDT20110713AAE","SAN FRANCISCO","CA",929.9,334203,242.2,112221
51429,34,"KFSF-DT","BLCDT20100513ABB","VALLEJO",CA,US,30561.5,7348828,25371.4,6537164,24174.4,6361672,,56034,34,"KGPE","BLCDT20030702ABJ","FRESNO",CA,253.7,32558,59.8,5483
,,,,,,,,,,,,,,33875,35,"KCRA-TV","BMLCDT20110630AGB","SACRAMENTO","CA",1121.2,169057,927.2,141982
,,,,,,,,,,,,,,43095,33,"KMTP-TV","BLEDT20100216ABJ","SAN FRANCISCO","CA",16.0,952,16.0,952
8214,25,"KQET","BLEDT20090624ABV","WATSONVILLE",CA,US,24197.6,2981040,17481.1,2075976,17229.6,1919369,,56550,25,"KOVR","BLCDT20110922ABJ","STOCKTON",CA,251.5,156607,243.5,156607
,,,,,,,,,,,,,,20871,26,"KTFK-DT","BLCDT20110819ABS","STOCKTON","CA",8.0,0,0.0,0
60307,7,"KRNV-DT","BLCDT20040622ABF","RENO",NV,US,47775.1,957035,40453.4,819457,39847.9,801168,,67494,7,"KAIL","BLCDT20021002ABH","FRESNO",CA,60.4,6481,20.1,323
,,,,,,,,,,,,,,34470,7,"KGO-TV","BLCDT20090824ADG","SAN FRANCISCO","CA",573.3,17966,533.1,11808
,,,,,,,,,,,,,,63331,8,"KOLO-TV","BLCDT20090612ABN","RENO","NV",12.0,0,12.0,0
63331,8,"KOLO-TV","BLCDT20090612ABN","RENO",NV,US,47911.3,959178,40661.3,826979,40003.9,805254,,8378,8,"KQSL","BLCDT20090610AAS","FORT BRAGG",CA,64.1,7452,24.1,3973
,,,,,,,,,,,,,,19653,8,"KSBW","BLCDT20090901ACY","SALINAS","CA",549.1,14558,432.7,1658
,,,,,,,,,,,,,,35855,9,"KVIE","BMLEDT20100913ABV","SACRAMENTO","CA",180.6,15238,68.2,2777
,,,,,,,,,,,,,,60307,7,"KRNV-DT","BLCDT20040622ABF","RENO","NV",8.0,0,8.0,0
59139,13,"KTVN","BLCDT20030212AAS","RENO",NV,US,47683.1,955300,39072.5,793594,38968.6,790830,,14867,13,"KCBA","BLCDT20030707ACL","SALINAS",CA,104.0,2764,104.0,2764
10228,15,"KNPB","BLEDT20031023AAU","RENO",NV,US,12616.6,604614,6154.4,463563,6150.4,463563,,4939,15,"KBSV","BLEDT20090213AAZ","CERES",CA,4.0,0,4.0,0
19191,20,"KAME-TV","BLCDT20020528AAY","RENO",NV,US,12555.2,611981,6196.1,460629,6184.2,460629,,58605,20,"KCVU","BLCDT20081222AAV","PARADISE",CA,11.9,0,7.9,0
,,,,,,,,,,,,,,334,20,"K20JX-D","BLDTA20101006AAS","SACRAMENTO","CA",4.0,0,0.0,0
51493,26,"KREN-TV","BLCDT20090227AAM","RENO",NV,US,49671.7,810039,37693.1,681806,37336.9,681333,,20871,26,"KTFK-DT","BLCDT20110819ABS","STOCKTON",CA,356.2,473,336.1,343
,,,,,,,,,,,,,,56550,25,"KOVR","BLCDT20110922ABJ","STOCKTON","CA",20.1,130,0.0,0
48360,44,"KRXI-TV","BLCDT20110627AAS","RENO",NV,US,30887.9,690809,17159.1,477181,17127.2,477180,,35703,44,"KTVU","BLCDT20091204AAD","OAKLAND",CA,31.8,1,31.8,1
34577,46,"KRNS-CD","BLDTA20111101AKP","RENO",NV,US,14527.3,642902,9671.8,484492,9607.8,484490,,10242,46,"KQCA","BLCDT20060623AAM","STOCKTON",CA,64.1,2,64.1,2
136014,40,"NEW","BPEDT20020730AAC","VALLEJO",CA,US,8868.8,3853678,6207.4,2749767,4460.1,1658597,,10205,40,"KTXL","BLCDT20090918ABS","SACRAMENTO",CA,1123.3,456614,849.4,315047
,,,,,,,,,,,,,,22644,41,"KKPX-TV","BLCDT20021108ABD","SAN JOSE","CA",791.0,708189,126.9,104971
,,,,,,,,,,,,,,71586,39,"KCNS","BLCDT20110712ACG","SAN FRANCISCO","CA",755.2,670927,55.5,20137
136014,40,"NEW","BPEDT20020730AAC","VALLEJO",CA,CA,0.0,0,0.0,0,0.0,0
